id,text,language,platform,region,date,aspect,sentiment,sarcasm,clean_text,detected_lang
1,Idhu Customer service mass. Quick response.,ta,reviews,MH,2026-02-15,service,positive,0,idhu customer service mass. quick response.,fr
2,Great service 👏 no response for 24 hours wait pannanum,en,instagram,TN,2025-12-02,price,negative,1,great service 👏 no response for 24 hours wait pannanum,en
3,Idhu Return/refund smooth experience.,ta,reviews,TS,2025-12-29,refund,positive,0,idhu return/refund smooth experience.,en
4,Idhu Courier smooth-a deliver pannanga.,ta,youtube,DL,2026-01-21,delivery,positive,0,idhu courier smooth-a deliver pannanga.,en
5,"Idhu Complaint raise panniten, no update.",ta,support,KL,2025-12-31,service,negative,0,"idhu complaint raise panniten, no update.",fr
6,Great service 👏 1 day wait pannanum,mix,twitter,KL,2025-12-07,quality,negative,1,great service 👏 1 day wait pannanum,en
7,"Idhu Packaging damage, product scratch.",ta,reviews,MH,2025-12-18,packaging,negative,0,"idhu packaging damage, product scratch.",en
8,"Material good, value for money.",mix,twitter,MH,2025-12-06,quality,positive,0,"material good, value for money.",en
9,"Refund romba slow, no response for 24 hours aachu.",mix,twitter,AP,2025-12-13,refund,negative,0,"refund romba slow, no response for 24 hours aachu.",en
10,Box normal-a irundhuchu.,mix,reviews,KA,2026-01-13,packaging,neutral,0,box normal-a irundhuchu.,en
11,"Idhu Complaint raise panniten, no update.",ta,youtube,KL,2025-12-28,service,negative,0,"idhu complaint raise panniten, no update.",fr
12,"Idhu Fast delivery, 8 days la vandhuduchu ✅",ta,youtube,KL,2026-02-25,delivery,positive,0,"idhu fast delivery, 8 days la vandhuduchu ✅",fr
13,Idhu Costly and quality poor.,ta,twitter,DL,2026-01-23,price,negative,0,idhu costly and quality poor.,en
14,"Product received today, open pannala.",mix,support,TS,2026-01-03,delivery,neutral,0,"product received today, open pannala.",en
15,"Price ok, but features compare pannitu paakanum.",en,instagram,DL,2025-12-27,price,neutral,0,"price ok, but features compare pannitu paakanum.",ro
16,Refund status pending.,mix,instagram,TS,2026-02-13,refund,neutral,0,refund status pending.,da
17,Wow amazing… came damaged 🙃,mix,support,AP,2025-12-06,refund,negative,1,wow amazing… came damaged 🙃,en
18,"Support reply pannala, 1 hour wait 😤",mix,support,MH,2026-01-10,service,negative,0,"support reply pannala, 1 hour wait 😤",en
19,"Packing super, safe-a vandhuduchu.",mix,youtube,KA,2025-12-18,packaging,positive,0,"packing super, safe-a vandhuduchu.",en
20,Wow amazing… came damaged 🙃,en,support,KA,2026-01-01,quality,negative,1,wow amazing… came damaged 🙃,en
21,Super quality… 10 days la stopped working 😏,ta,instagram,TS,2026-02-10,delivery,negative,1,super quality… 10 days la stopped working 😏,en
22,Login and checkout easy ✅,en,youtube,TS,2026-02-07,app,positive,0,login and checkout easy ✅,en
23,Costly and quality poor.,en,support,DL,2026-01-19,price,negative,0,costly and quality poor.,en
24,Looks fine. Long-term paakanum.,mix,instagram,AP,2026-02-22,quality,neutral,0,looks fine. long-term paakanum.,et
25,Customer care number busy.,mix,reviews,AP,2025-12-23,service,neutral,0,customer care number busy.,en
26,"Idhu Price ok, but features compare pannitu paakanum.",ta,youtube,DL,2026-01-31,price,neutral,0,"idhu price ok, but features compare pannitu paakanum.",ro
27,"Support ticket raised, waiting.",mix,instagram,KA,2025-12-09,service,neutral,0,"support ticket raised, waiting.",en
28,Refund status pending.,mix,support,KL,2026-01-06,refund,neutral,0,refund status pending.,da
29,"Support reply pannain, 1 day wait 😤",en,twitter,TN,2026-01-16,service,negative,0,"support reply pannain, 1 day wait 😤",en
30,Idhu Delivery nalla! on-time arrived.,ta,reviews,KL,2026-02-11,delivery,positive,0,idhu delivery nalla! on-time arrived.,it
31,Idhu Installed. Will try later.,ta,reviews,KL,2026-01-12,app,neutral,0,idhu installed. will try later.,en
