id,text,language,platform,region,date,aspect,sentiment,sarcasm
1,Idhu Customer service mass. Quick response.,ta,reviews,MH,2026-02-15,service,positive,0
2,Great service 👏 no response for 24 hours wait pannanum,en,instagram,TN,2025-12-02,price,negative,1
3,Idhu Return/refund smooth experience.,ta,reviews,TS,2025-12-29,refund,positive,0
4,Idhu Courier smooth-a deliver pannanga.,ta,youtube,DL,2026-01-21,delivery,positive,0
5,"Idhu Complaint raise panniten, no update.",ta,support,KL,2025-12-31,service,negative,0
6,Great service 👏 1 day wait pannanum,mix,twitter,KL,2025-12-07,quality,negative,1
7,"Idhu Packaging damage, product scratch.",ta,reviews,MH,2025-12-18,packaging,negative,0
8,"Material good, value for money.",mix,twitter,MH,2025-12-06,quality,positive,0
9,"Refund romba slow, no response for 24 hours aachu.",mix,twitter,AP,2025-12-13,refund,negative,0
10,Box normal-a irundhuchu.,mix,reviews,KA,2026-01-13,packaging,neutral,0
11,"Idhu Complaint raise panniten, no update.",ta,youtube,KL,2025-12-28,service,negative,0
12,"Idhu Fast delivery, 8 days la vandhuduchu ✅",ta,youtube,KL,2026-02-25,delivery,positive,0
13,Idhu Costly and quality poor.,ta,twitter,DL,2026-01-23,price,negative,0
14,"Product received today, open pannala.",mix,support,TS,2026-01-03,delivery,neutral,0
15,"Price ok, but features compare pannitu paakanum.",en,instagram,DL,2025-12-27,price,neutral,0
16,Refund status pending.,mix,instagram,TS,2026-02-13,refund,neutral,0
17,Wow amazing… came damaged 🙃,mix,support,AP,2025-12-06,refund,negative,1
18,"Support reply pannala, 1 hour wait 😤",mix,support,MH,2026-01-10,service,negative,0
19,"Packing super, safe-a vandhuduchu.",mix,youtube,KA,2025-12-18,packaging,positive,0
20,Wow amazing… came damaged 🙃,en,support,KA,2026-01-01,quality,negative,1
21,Super quality… 10 days la stopped working 😏,ta,instagram,TS,2026-02-10,delivery,negative,1
22,Login and checkout easy ✅,en,youtube,TS,2026-02-07,app,positive,0
23,Costly and quality poor.,en,support,DL,2026-01-19,price,negative,0
24,Looks fine. Long-term paakanum.,mix,instagram,AP,2026-02-22,quality,neutral,0
25,Customer care number busy.,mix,reviews,AP,2025-12-23,service,neutral,0
26,"Idhu Price ok, but features compare pannitu paakanum.",ta,youtube,DL,2026-01-31,price,neutral,0
27,"Support ticket raised, waiting.",mix,instagram,KA,2025-12-09,service,neutral,0
28,Refund status pending.,mix,support,KL,2026-01-06,refund,neutral,0
29,"Support reply pannain, 1 day wait 😤",en,twitter,TN,2026-01-16,service,negative,0
30,Idhu Delivery nalla! on-time arrived.,ta,reviews,KL,2026-02-11,delivery,positive,0
31,Idhu Installed. Will try later.,ta,reviews,KL,2026-01-12,app,neutral,0
32,"Packing super, safe-a arrived.",en,twitter,KL,2026-01-15,packaging,positive,0
33,Delivery super! on-time arrived.,mix,youtube,AP,2026-01-09,delivery,positive,0
34,No comments on packaging.,en,twitter,TN,2025-12-01,packaging,neutral,0
35,"Packaging neat, no damage.",en,youtube,KA,2026-02-13,packaging,positive,0
36,"No bubble wrap, worst packing.",mix,support,DL,2026-02-03,packaging,negative,0
37,"Idhu Product received today, open pannala.",ta,support,AP,2026-01-05,delivery,neutral,0
38,Login and checkout easy ✅,mix,support,TN,2026-01-27,app,positive,0
39,"Bug romba, worst experience.",mix,instagram,TN,2025-11-29,app,negative,0
40,"No bubble wrap, worst packing.",mix,support,DL,2026-01-26,packaging,negative,0
41,"Service worst, nobody answered.",mix,instagram,KL,2026-01-24,service,negative,0
42,Same product elsewhere cheaper.,mix,youtube,KA,2026-02-06,price,negative,0
43,Customer service semma. Quick response.,mix,support,KL,2026-01-01,service,positive,0
44,"Courier rude, package damage aayiduchu.",en,twitter,KL,2026-01-10,delivery,negative,0
45,Wow amazing… late delivery 🙃,mix,youtube,MH,2025-12-14,packaging,negative,1
46,Super quality… 2 days la stopped working 😏,en,support,TN,2025-12-25,price,negative,1
47,"Compinint raise panniten, no update.",en,reviews,KL,2025-12-09,service,negative,0
48,Idhu Costly and quality poor.,ta,youtube,DL,2026-01-07,price,negative,0
49,Great service 👏 1 hour wait pannanum,mix,twitter,MH,2025-12-19,app,negative,1
50,Idhu Return approve pannala.,ta,instagram,AP,2026-01-03,refund,negative,0
51,8 days la itself stopped working.,mix,support,AP,2026-02-02,quality,negative,0
52,Idhu Worth for money ✅,ta,reviews,MH,2026-02-17,price,positive,0
53,"Idhu Bug romba, romba mosam experience.",ta,instagram,DL,2025-12-19,app,negative,0
54,"App crash aagudhu, screen issue.",en,instagram,TN,2025-12-14,app,negative,0
55,"Idhu Support reply pannala, 2 hours wait 😤",ta,youtube,DL,2026-01-08,service,negative,0
56,Installed. Will try later.,mix,reviews,TN,2026-01-05,app,neutral,0
57,Box normal-a irundhuchu.,en,instagram,KA,2025-12-14,packaging,neutral,0
58,Login and checkout easy ✅,mix,reviews,TS,2026-02-03,app,positive,0
59,Idhu 1 days la itself came damaged.,ta,support,TN,2025-12-11,quality,negative,0
60,Arrived. Will test and update.,mix,instagram,MH,2026-02-09,delivery,neutral,0
